Questions,Answers
Why is unit needed to measure any quantity?,"Any measurement requires a standard or ideal quantity against which the measurement can be compared. This standard quantity is the unit of measurement. No transaction is possible in daily life without a unit. Hence, unit is required to express the measurement of any quantity."
Is the mass of any body equal to the weight of that body? Explain.,"Mass is the basic property of matter that does not change. The weight of an object depends on gravitational acceleration. Since the Earth is not perfectly round, its radius varies slightly, which affects gravitational pull at different points. Therefore, the mass of an object remains constant, but its weight can vary depending on location."
 Why is unit needed to measure any quantity?,"Any measurement requires a standard or ideal quantity against which the measurement can be compared. This standard quantity is the unit of measurement. No transaction is possible in daily life without a unit. Hence, unit is required to express the measurement of any quantity."
 Is the mass of any body equal to the weight of that body? Explain.,"Mass is the basic property of matter that does not change. The weight of an object depends on gravitational acceleration. Since the Earth is not perfectly round, its radius varies slightly, which affects gravitational pull at different points. Therefore, the mass of an object remains constant, but its weight can vary depending on location."
" When an object rotates uniformly along the circumference of a circle, the motion of that object is called uniform circular motion. Explain.","As the object moves in such a uniform speed, there is no change in the value of the object's velocity. But the direction of velocity changes. Since the direction changes at different points, it constantly changes, making it accelerating. So, a moving object with a uniform speed in a circular path has acceleration."
" If the velocity of an object in motion remains unchanged in value and direction, then the velocity of that object is called uniform velocity. Explain.","If an object is in motion and it covers equal distances in equal times, then it is uniform speed. When moving in a curve path, the direction changes with time, which makes the velocity change even if speed remains the same. This change in direction defines acceleration in a uniform speed object on a curved path."
 Why is it necessary to know the dimension of a quantity? Explain.,"The power of fundamental quantities in a quantity is called its dimension. Knowing dimensions helps to understand the formation of quantities, and to convert units across systems."
What is the significance of a unit in measurement?,"A unit provides a standard measure to express quantities consistently. It allows us to compare, communicate, and quantify different measurements accurately. Without units, measurements would be meaningless and difficult to interpret."
Why can’t mass and weight be considered the same?,"Mass is the inherent property of an object, which remains constant everywhere. Weight, however, depends on the gravitational pull at a particular location, so it can vary depending on where the object is. Thus, mass and weight are not the same."
Explain the concept of uniform circular motion.,"Uniform circular motion occurs when an object moves in a circular path at a constant speed. Although the speed remains the same, the direction of the object’s velocity constantly changes, causing it to experience acceleration. This acceleration is due to the continuous change in direction."
What is the purpose of dimensions in physics?,"Dimensions help define a physical quantity in terms of fundamental units like mass, length, and time. They are essential for verifying the consistency of equations, converting units, and understanding the physical nature of quantities."
Why do we need standard quantities for measurement?,"Standard quantities are essential to provide a common reference point for measurements. They allow us to express measurements accurately and consistently, enabling reliable comparisons and communication in science and daily life."
What is the advantage of using a Vernier scale over a regular scale?,"A Vernier scale provides more precise measurements than a regular scale. It allows measurements down to fractions of a millimeter by using a secondary scale that aligns with the main scale, improving accuracy."
Define screw gauge and its purpose.,"A screw gauge is a precision measuring tool used to measure very small lengths with high accuracy, often up to 0.01 mm. It operates by rotating a screw with a very fine pitch, allowing for small increments in measurement."
How does a screw gauge differ from a Vernier caliper?,"A screw gauge measures smaller lengths more precisely than a Vernier caliper, typically up to 0.01 mm. While a Vernier caliper is used for general precision measurements, a screw gauge is more suitable for very small lengths where high accuracy is required."
What is the role of fundamental quantities in physics?,"Fundamental quantities, such as length, mass, and time, serve as the basic building blocks of measurement. They are independent quantities that do not rely on other measurements, allowing us to define all other derived quantities based on them."
Why is it impossible to achieve uniform velocity in a curved path?,"In a curved path, the direction of the object’s motion constantly changes, even if the speed is consistent. This change in direction means the velocity vector changes, resulting in acceleration. Therefore, uniform velocity cannot be maintained in a curved path."
 What is meant by 1 mm pitch of a screw gauge?,"The pitch of a screw gauge is the distance travelled by the screw along the linear scale for a complete rotation of the circular scale. A 1 mm pitch means that after one complete rotation of the circular scale, the screw has moved 1 mm along the linear scale."
 Define Vernier constant.,The Vernier constant is the difference between one smallest division of the main scale and one division of the Vernier scale. It is the smallest measurement that can be accurately read using the Vernier scale.
 Why is it not possible to measure accurate length of any object with meter scale?,"A meter scale is typically graduated in millimeters and is not precise enough for objects requiring measurements less than 1 mm. For such small measurements, instruments like Vernier calipers or screw gauges are used, as they allow for finer precision."
 Explain the importance of accuracy in measurement.,Accuracy in measurement ensures that the observed value is close to the true value. It is crucial for scientific and technical applications where precision is needed to maintain consistency and reliability in data and results.
 What is the least count of a screw gauge?,"The least count of a screw gauge is the smallest distance or measurement that can be read accurately using the instrument. It is determined by the pitch divided by the number of divisions on the circular scale, often up to 0.01 mm."
 How does a Vernier scale improve measurement accuracy?,"A Vernier scale improves accuracy by allowing measurements of smaller increments than the main scale. It does this by providing a secondary scale that aligns with the main scale, thereby increasing the precision of readings."
 Why is a Vernier caliper used in measurements rather than a regular scale?,A Vernier caliper is preferred for measurements requiring higher precision because it can measure small distances with finer accuracy. Regular scales are limited to larger units and cannot measure fractions as precisely as Vernier calipers.
 How would you explain the concept of relative error?,"Relative error is the ratio of the absolute error to the measured value, expressed as a percentage. It provides insight into how significant an error is in comparison to the actual measurement, helping to assess accuracy."
 Why is the relative error of measured area greater than that of measured length?,"When calculating area, even a small error in length measurement is compounded because the area is a function of two dimensions (length x width). Therefore, the relative error in area tends to be larger than that in a single length measurement."
 What is the purpose of a micrometer screw gauge in measurement?,"A micrometer screw gauge is used for making precise linear measurements of small dimensions, such as diameter and thickness. It provides accuracy up to 0.01 mm, making it essential for measuring very small objects that require high precision."
What type of motion is the motion of the earth around the sun? Explain it.,"The motion of the earth around the sun is periodic motion. Periodic motion is when an object returns to its initial position after a fixed interval of time. For example, the earth completes its orbit around the sun every 365 days. This repetitive motion defines it as periodic."
How can an object moving at the same speed have acceleration? Explain.,"An object can have acceleration even when moving at the same speed if its direction changes. For example, in uniform circular motion, although the speed remains constant, the object continuously changes direction, leading to a change in velocity, and hence, acceleration occurs."
"All simple harmonic motions are periodic motions, but all periodic motions are not simple harmonic motions. Explain.","Simple harmonic motion (SHM) is a type of periodic motion where the restoring force is proportional to the displacement. While all SHMs are periodic, not all periodic motions exhibit this proportionality in force and displacement. For example, the motion of the earth around the sun is periodic but not harmonic, as it doesn’t follow SHM principles."
"If force is not applied, the change of the velocity of an object will be zero. Explain.","According to Newton’s First Law, an object will maintain its state of rest or uniform motion in a straight line unless acted upon by an external force. Thus, without an applied force, there is no change in velocity, meaning no acceleration."
Why does a car go ahead and stop after braking? Explain.,"When a car brakes, it stops due to the force applied by the brakes. However, due to inertia, the car still tends to move forward slightly before coming to a complete halt. This is because an object in motion continues to move unless acted upon by an external force."
Explain why does the weight of a body vary at different places of the earth.,"The weight of a body depends on gravitational acceleration, which varies slightly on different parts of the Earth due to its shape (being an oblate spheroid). Gravitational pull is stronger at the poles and weaker at the equator, causing weight to vary with location."
The motion of a cycle moving with a uniform speed on a circular track is a periodic motion. Explain.,"Periodic motion is when an object repeats its motion in a regular interval. When a cycle moves with uniform speed on a circular track, it returns to the starting point after completing each lap, thus repeating its motion in a periodic manner."
What type of motion is the motion of the earth around the sun? Explain it.,"The motion of the earth around the sun is periodic motion. Periodic motion is when an object returns to its initial position after a fixed interval of time. For example, the earth completes its orbit around the sun every 365 days. This repetitive motion defines it as periodic."
How can an object moving at the same speed have acceleration? Explain.,"An object can have acceleration even when moving at the same speed if its direction changes. For example, in uniform circular motion, although the speed remains constant, the object continuously changes direction, leading to a change in velocity, and hence, acceleration occurs."
"All simple harmonic motions are periodic motions, but all periodic motions are not simple harmonic motions. Explain.","Simple harmonic motion (SHM) is a type of periodic motion where the restoring force is proportional to the displacement. While all SHMs are periodic, not all periodic motions exhibit this proportionality in force and displacement. For example, the motion of the earth around the sun is periodic but not harmonic, as it doesn’t follow SHM principles."
