Questions,Answers
What is the SI unit of length?,Meter
What is used to measure temperature in the SI system?,Kelvin
Which unit is used for mass in the metric system?,Kilogram
What does a barometer measure?,Atmospheric pressure
Which instrument is commonly used to measure length?,Ruler or measuring tape
What unit is used to measure electric current?,Ampere
"What quantity does the unit ""Newton"" measure?",Force
What does a thermometer measure?,Temperature
Which physical quantity is measured in joules?,Energy
What instrument would you use to measure mass in a laboratory?,Balance or scale
"In physics, what is measured in meters per second squared?",Acceleration
What is the SI unit for the amount of substance?,Mole
What does an odometer measure?,Distance traveled by a vehicle
Which device measures voltage?,Voltmeter
What is the standard unit of electrical resistance?,Ohm
What is the device used to measure electric current?,Ammeter
What quantity is measured in volts?,Electric potential
What is the function of a transformer?,To change the voltage of an electric current
What is the SI unit of magnetic field strength?,Tesla
What is the purpose of a fuse in electrical circuits?,To protect against excessive current
Which device converts AC to DC?,Rectifier
What is the primary function of a diode?,To allow current to flow in one direction only
What is measured in coulombs?,Electric charge
What is the name of the effect that describes current generation in a conductor when it moves through a magnetic field?,Electromagnetic induction
What is the unit of capacitance?,Farad
What type of current flows in one direction only?,Direct current (DC)
What is the basic unit for frequency?,Hertz (Hz)
What is used to measure electric power?,Wattmeter
Which law states that current is directly proportional to voltage in a conductor?,Ohm’s Law
What is the unit of energy?,Joule
"Which law explains the relationship between force, mass, and acceleration?",Newton’s Second Law of Motion
What is the standard unit of work in the SI system?,Joule
What is the formula for kinetic energy?,1/2 * mass * velocity^2
"What does the term ""power"" refer to in physics?",Rate of doing work
What is the unit of power?,Watt
What is the term for energy stored due to position?,Potential energy
Which form of energy is associated with an object’s motion?,Kinetic energy
What is gravitational potential energy dependent on?,"Mass, gravity, and height"
Which device is used to measure power?,Wattmeter
What is the unit of gravitational field strength?,Newton per kilogram (N/kg)
What is the SI unit of force?,Newton
What quantity is measured in calories?,Energy
What is the measure of the amount of matter in an object?,Mass
What type of energy transformation occurs in a generator?,Mechanical energy to electrical energy
What is the SI unit of electric current?,Ampere
"What quantity does the unit ""Ohm"" measure?",Electrical resistance
Which instrument is used to measure voltage?,Voltmeter
"What does the term ""power"" refer to in an electrical context?",Rate of energy transfer
What unit is used to measure electrical power?,Watt
What device is used to convert mechanical energy into electrical energy?,Generator
What type of current changes direction periodically?,Alternating current (AC)
What is the primary component of a battery?,Chemical energy
What is the formula for calculating electrical power?,Power = Voltage × Current
What unit is used to measure electric charge?,Coulomb
What term describes materials that do not allow electric current to flow?,Insulators
What is the role of a diode in an electrical circuit?,To allow current to flow in only one direction
